공구번호,보유,위치,공유
124 589 17 63 00,1,03월 05일, -
124 589 18 21 00,-,-,공유
124 589 24 21 00,1,03월 05일, -
126 589 00 01 00,1,03월 06일,
126 589 00 10 00,2,03월 06일, -
126 589 02 09 00,1,03월 06일, -
126 589 04 09 00,5,"3-6
현장", -
126 589 04 31 00,2,03월 06일, -
126 589 12 63 00,1,03월 06일, -
126 589 13 63 00,1,03월 06일,
129 589 00 21 00,1,03월 06일,
129 589 00 91 00,1,03월 07일, -
129 589 01 03 00,1,03월 07일,공유
129 589 03 21 00,1,03월 07일,
129 589 01 07 00,-,-,공유
129 589 01 21 00,1,03월 01일, -
129 589 03 43 00,1,03월 01일,공유
129 589 10 63 00,1,03월 07일, -
133 589 00 63 00,-,-,공유
137 589 00 33 00,1,03월 07일, -
137 589 00 63 00,1,03월 08일,공유
137 589 01 33 00,1,03월 07일, -
137 589 01 40 00,-,-,공유
139 589 00 62 00,,,공유
139 589 01 40 00 ,1,03월 07일,-
139 589 02 40 00,-,-,공유
139 589 05 40 00,-,-,공유
140 589 00 03 00,1,03월 07일, -
140 589 00 09 00,1,03월 07일,
140 589 00 19 00,1,04월 02일, -
140 589 00 33 00 ,1,04월 02일,
140 589 00 63 00,1,04월 02일, -
140 589 01 34 00,-,-,공유
140 589 01 62 00,1,04월 02일,공유
140 589 02 33 00,4,04월 02일, -
140 589 06 34 00,-,-,공유
140 589 09 33 00,1,04월 02일,
140 589 10 15 00,-,-,공유
140 589 12 15 00,1,04월 02일, -
140 589 13 21 00,1,04월 02일,
140 589 13 43 00,1,04월 03일,공유
140 589 14 15 00,-,-,공유
140 589 15 21 00,1,벽, -
140 589 34 63 00,1,"4-8
엔진실","일부
공유"
140 589 43 63 00,1,04월 08일,공유
140 589 45 63 00,1,04월 08일,공유
140 589 49 63 00,1,04월 03일, -
140 589 51 63 01,1,04월 03일, -
152 589 00 40 00,-,-,공유
156 589 00 31 00,-,-,공유
156 589 00 32 00,-,-,공유
156 589 00 34 00,-,-,공유
156 589 00 61 00,-,-,공유
156 589 00 63 00,1,04월 03일,공유
156 589 01 63 00 ,-,-,공유
159 589 00 40 00 ,-,-,공유
