공구번호,보유,위치,공유
646 589 00 91 00,1,11월 05일,
646 589 01 63 00,1,11#5,
646 589 02 21 00,1,11월 05일,
646 589 02 63 00,1,11월 06일,
646 589 03 63 00,1,11월 06일,
646 589 04 63 00,1,11월 06일,
651 589 00 07 00,1,11월 06일, -
651 589 00 09 00,-,-,공유
651 589 00 33 00,1,11월 06일, -
651 589 00 40 00,1,11월 06일, -
651 589 00 61 00,1,11월 06일, -
651 589 00 63 00,1,11월 06일, -
651 589 00 91 00 ,1,11월 07일, -
651 589 01 33 00,1,11월 07일, -
651 589 01 40 00,1,11월 07일, -
651 589 01 61 00,1,11월 07일,공유
651 589 01 63 00,1,11월 07일, -
651 589 01 91 00,1,11월 07일, -
651 589 02 40 00,1,11월 07일,공유
651 589 02 43 00,-,-,공유
651 589 02 63 00,1,11월 07일,공유
651 589 02 91 00,1,11월 07일,공유
651 589 04 40 00,1,12월 01일,공유
651 589 04 63 00,-,-,공유
651 589 06 63 00,1,12월 02일, -
651 589 09 40 00,1,12월 02일, -
651 589 10 40 00,1,12월 02일, -
651 589 11 63 00,-,-,공유
652 589 00 33 21,1,12월 01일, -
652 589 00 33 23,1,12월 01일, -
654 589 00 09 00,1,12월 02일, -
654 589 00 14 00,1,12월 02일, -
654 589 00 21 00,1,12월 02일,공유
654 589 00 31 00,-,-,공유
654 589 00 40 00,1,12월 02일, -
654 589 00 43 00,1,12월 02일, -
654 589 00 61 00,1,12월 02일,-
654 589 00 91 00,1,12월 03일,-
654 589 01 21 00,1,12월 03일,-
654 589 01 40 00,1,12월 03일, -
654 589 01 43 00,1,12월 03일, -
654 589 02 09 00,-,-,공유
654 589 02 63 00,1,12월 08일,-
654 589 03 21 00,1,12월 03일,공유
654 589 03 21 01,1,12월 03일,공유
654 589 03 63 00,1,12월 03일,-
656 589 00 15 00,1,12월 03일, -
668 589 00 63 00,1,12월 04일,
668 589 00 68 00,1,12월 04일, -
668 589 01 34 00,1,12월 04일,
700 589 00 63 00,1,12월 04일,
700 589 00 09 00,-,-,공유
700 589 00 90 00,1,12월 04일,공유
700 589 05 63 00,-,-,공유
700 589 09 63 00,-,-,공유
700 589 11 15 00,1,12월 04일,-
711 589 00 59 00,1,12월 04일, -
711 589 01 15 00,-,-,공유
711 589 03 15 00,1,12월 05일, -
711 589 19 15 00,1,12월 05일, -
715 589 22 15 00,1,04월 15일,
717 589 00 31 00,1,12월 05일, -
721 589 06 15 00,-,,-
722 589 00 09 00,-,-,공유
722 589 00 14 00,1,12월 05일, -
722 589 01 31 00,-,-,공유
722 589 01 33 00,1,12월 05일,공유
722 589 03 31 00,-,-,공유
722 589 04 15 00,-,-,공유
722 589 06 14 00,-,-,공유
722 589 03 09 00,1,12월 05일,
722 589 03 14 00,1,12월 05일,
722 589 16 15 00,1,12월 05일, -
724 589 00 09 00,-,-,공유
724 589 00 14 00,-,-,공유
724 589 00 15 00,-,-,공유
724 589 00 21 00,1,, -
724 589 00 31 00,-,-,공유
724 589 00 40 00,-,-,공유
724 589 00 59 00,-,-,공유
724 589 00 63 00,-,-,공유
724 589 01 09 00,-,-,공유
724 589 01 15 00,1,12월 06일,공유
724 589 01 31 00,-,-,공유
724 589 01 33 00,-,-,공유
724 589 02 09 00,1,12월 06일,-
724 589 02 15 00,-,-,공유
724 589 02 31 00,-,-,공유
724 589 02 33 00,-,-,공유
724 589 02 40 00,-,-,공유
724 589 02 63 00,-,-,공유
724 589 03 15 00,-,-,공유
724 589 03 31 00,-,-,공유
724 589 03 63 00,-,-,공유
724 589 04 15 00,-,-,공유
724 589 04 40 00,-,-,공유
724 589 04 63 00,-,-,공유
724 589 05 15 00,1,12월 06일,-
724 589 06 15 00,1,12월 06일,
725 589 00 09 00,-,-,공유
725 589 00 15 00,1,12월 06일, -
725 589 00 31 00,-,-,공유
725 589 00 33 00,-,-,공유
725 589 00 40 00,-,-,공유
725 589 00 59 00,-,-,공유
725 589 00 63 00,-,-,공유
725 589 00 90 00,1,12월 06일, -
725 589 01 14 00,1,12월 06일, -
725 589 01 31 00,1,12월 07일, -
725 589 01 59 00,-,-,공유
725 589 02 15 00,1,12월 07일,-
725 589 02 31 00,-,-,공유
725 589 02 90 00,1,12월 07일, -
725 589 03 15 00,1,12월 07일,-
725 589 03 31 00,-,-,공유
725 589 03 90 00,1,12월 07일,-
725 589 04 15 00,1,12월 07일,-
725 589 04 31 00,-,-,공유
725 589 05 15 00,1,12월 07일,-
725 589 06 15 00,1,02월 13일, -
725 589 07 15 00,1,02월 13일,-
741 589 00 35 00,-,-,공유
741 589 01 15 00,-,-,공유
906 589 00 03 00,1,02월 13일,
906 589 08 63 00,1,02월 13일,
936 589 01 63 00,1,02월 13일, -
